objectid,stopid,main_street,cross_street,direction,benches,lat,lon
221,1529,SW 42 AV,ANDALUSIA AV,S,2,25.748139,-80.262775
222,1530,SW 42 AV,ALMERIA AV,S,0,25.74684,-80.262723
223,1531,SW 42 AV,SEVILLA AV,S,0,25.745391,-80.26266
224,1532,SW 42 AV,MALAGA AV,S,0,25.743756,-80.26259
225,1533,SW 42 AV,UNIVERSITY DR,S,0,25.742255,-80.262528
226,1534,SW 42 AV,CAMILO AV,S,0,25.740362,-80.262449
227,1535,SW 42 AV,ALEDO AV,S,0,25.739269,-80.262402
228,1536,SW 42 AV,FLUVIA AV,S,0,25.737325,-80.262316
229,1537,SW 42 AV,VELARDE AV,S,0,25.735766,-80.262257
230,1538,SW 42 AV,SW 4O ST,S,0,25.733992,-80.262172
231,1539,SW 42 AV,SAN LORENZO AV,S,0,25.731901,-80.262059
232,1540,SW 42 AV,VILABELLA AV,S,0,25.729332,-80.261926
233,1541,SW 42 AV,MENENDEZ AV,S,0,25.725349,-80.261676
234,1542,SW 42 AV,AMALFI AV,S,0,25.723368,-80.261595
235,1543,SW 42 AV,BIANCA AV,S,0,25.721677,-80.261529
236,1544,SW 42 AV,MILLER RD,S,0,25.720054,-80.261427
237,1545,SW 42 AV,BARGELLO AV,S,0,25.717936,-80.261354
238,1546,SW 42 AV,MARMORE AV,S,0,25.715353,-80.261302
239,1547,SW 42 AV,SAVONA AV,S,0,25.714307,-80.261239
240,1548,SW 42 AV,HARDEE RD,S,0,25.71292,-80.261162
241,1549,SW 42 AV,US 1,N,0,25.726026,-80.261582
242,1550,SW 42 AV,GRANELLO AV,N,1,25.728959,-80.261693
243,1551,SW 42 AV,SAN LORENZO AV,N,0,25.731973,-80.261807
244,1552,SW 42 AV,SW 40 ST,N,0,25.734221,-80.261965
245,1553,SW 42 AV,CANDIA AV,N,2,25.735987,-80.262042
246,1554,SW 42 AV,VISCAYA AV,N,0,25.737451,-80.262105
247,1555,SW 42 AV,CADIMA AV,N,0,25.738784,-80.262165
248,1556,SW 42 AV,CAMILO AV,N,0,25.740196,-80.262226
249,1557,SW 42 AV,UNIVERSITY DR,N,0,25.742489,-80.262332
250,1558,SW 42 AV,CATALONIA AV,N,0,25.744824,-80.26242
251,1559,SW 42 AV,ALMERIA AV,N,0,25.746636,-80.262487
252,1560,SW 42 AV,ANDALUSIA AV,N,0,25.748239,-80.262566
253,352,SW 42 AV,CORAL WY,N,2,25.749069,-80.262608
254,1561,SW 42 AV,ARAGON AV,N,2,25.750429,-80.262657
255,1562,SW 42 AV,ALCAZAR,N,0,25.752978,-80.262734
256,1564,SEGOVIA ST,BILTMORE WY,S,0,25.747707,-80.266802
257,1565,SEGOVIA ST,ALMERIA AV,S,0,25.746631,-80.266749
258,1566,SEGOVIA ST,PALERMO AV,S,0,25.744929,-80.266665
259,1567,SEGOVIA ST,MALAGA AV,S,1,25.743506,-80.266599
260,1568,SEGOVIA ST,MALAGA AV,N,0,25.743214,-80.266397
261,1569,SEGOVIA ST,PALERMO AV,N,1,25.744629,-80.266469
262,1570,SEGOVIA ST,ALMERIA AV,N,0,25.746258,-80.266542
263,1571,SEGOVIA ST,BILTMORE WY,N,1,25.747792,-80.266617
264,1577,UNIVERSITY DR,CAMPO SANO,S,0,25.725509,-80.273103
265,1578,UNIVERSITY DR,# 5000 (DOCTORS HOS),S,1,25.724329,-80.273314
266,1579,UNIVERSITY DR,PISANO AV,S,0,25.723272,-80.273926
267,1580,UNIVERSITY DR,OP # 5000 (DOCS HOS),N,1,25.724305,-80.273195
268,1581,UNIVERSITY DR,BLUE RD,N,0,25.726799,-80.272906
269,1587,BILTMORE WY,HERNANDO ST,E,0,25.748171,-80.264865
270,1588,BILTMORE WY,HERNANDO ST,W,0,25.748453,-80.264592
271,1594,GRANADA BD,PONCE DE LEON BD,S,0,25.720206,-80.271777
272,1595,GRANADA BD,BENEVENTO AV,N,0,25.720335,-80.27168
273,1601,MAYNADA ST,MADRUGA AV,S,0,25.716439,-80.273588
274,1602,MAYNADA ST,MARIPOSA AV,S,0,25.714586,-80.273487
275,1603,MAYNADA ST,MARIPOSA AV,N,0,25.714317,-80.273377
276,1604,MAYNADA ST,AUGUSTO ST,N,0,25.71656,-80.273463
277,1605,SAN AMARO DR,DELGADO AV,S,0,25.715936,-80.28338
278,1606,SAN AMARO DR,ALBENGA AV,S,0,25.713811,-80.283349
279,1607,SAN AMARO DR,BRESCIA AV,S,0,25.711648,-80.283271
280,1608,SAN AMARO DR,BRESCIA AV,N,0,25.711796,-80.283055
281,1609,SAN AMARO DR,ALBENGA AV,N,0,25.714085,-80.283137
282,1610,SAN AMARO DR,DELGADO AV,N,0,25.716192,-80.283113
283,1611,PISANO AV,GRANADA BD,E,0,25.722197,-80.272771
284,1612,PISANO AV,GRANADA BD,W,0,25.722553,-80.273041
285,1614,SW 57 AV,VENERA AV,N,0,25.706783,-80.285386
286,1615,SW 57 AV,BRESCIA AV,N,0,25.711488,-80.285578
287,1616,SW 57 AV,LIGURIA AV,N,0,25.713009,-80.285626
288,1617,SW 57 AV,MATARO AV,N,0,25.715157,-80.285721
289,1618,SW 57 AV,ZORETA AV,N,0,25.716377,-80.285776
290,1619,SW 57 AV,MILLER RD,N,0,25.718508,-80.285834
291,1620,SW 57 AV,BARACOA AV,N,0,25.720359,-80.285903
292,1621,SW 57 AV,ROBBIA AV,N,0,25.722921,-80.286005
293,1622,SW 57 AV,SIENA AV,N,0,25.724086,-80.286041
294,1623,SW 57 AV,SW 48 ST,N,0,25.726236,-80.286111
295,1624,SW 57 AV,MENDAVIA AV,N,0,25.727833,-80.286173
296,1625,SW 57 AV,PALANCIA AV,N,0,25.72922,-80.28623
297,1626,SW 57 AV,GARCIA AV,N,0,25.731826,-80.286335
298,1627,SW 57 AV,ALGARDI AV,N,0,25.733058,-80.286352
299,1628,SW 57 AV,SW 40 ST,N,1,25.73466,-80.286435
300,1629,SW 57 AV,ALCALA AV,N,0,25.73625,-80.286512
301,1630,SW 57 AV,MURCIA AV,N,1,25.737927,-80.286566
302,1631,SW 57 AV,TREVINO AV,N,1,25.740023,-80.28673
303,1632,SW 57 AV,SARAGOSSA AV,N,0,25.741284,-80.286813
304,1633,SW 57 AV,CATALONIA AV,N,0,25.74299,-80.286906
305,1634,SW 57 AV,SEVILLA AV,N,1,25.744523,-80.286996
306,1635,SW 57 AV,SW 24 ST,N,0,25.749123,-80.287239
307,1636,SW 57 AV,S GREENWAY DR,N,0,25.75091,-80.287323
308,1637,SW 57 AV,OBISPO AV,N,0,25.754703,-80.287414
309,1638,SW 8 ST,GALIANO ST,W,0,25.764717,-80.257488
310,1639,SW 8 ST,COUNTRY CLUB PRADO,E,0,25.76352,-80.286204
311,1640,SW 8 ST,LISBON ST,E,0,25.763615,-80.283988
312,1641,SW 8 ST,GENOA ST,E,1,25.763703,-80.281043
313,1642,SW 8 ST,WALLACE ST,E,0,25.763833,-80.278037
314,1643,SW 8 ST,GRANADA BD,E,0,25.763877,-80.275836
315,1644,SW 8 ST,MONTEREY ST,E,1,25.76397,-80.274151
316,1645,SW 8 ST,SANTIAGO ST,E,0,25.764036,-80.272266
317,1649,ARAGON AV,PONCE DE LEON BD,W,1,25.750544,-80.258967
